contrcount,geostate,geostateabbr
1,Alabama,AL
6,Alaska,AK
82,Arizona,AZ
8,Arkansas,AR
32,California,CA
45,Colorado,CO
6,Connecticut,CT
18,Delaware,DE
1,Florida,FL
50,Georgia,GA
41,Hawaii,HI
10,Idaho,ID
21,Illinois,IL
13,Indiana,IN
12,Iowa,IA
15,Kansas,KS
48,Kentucky,KY
25,Louisiana,LA
12,Maine,ME
30,Maryland,MD
8,Massachusetts,MA
61,Michigan,MI
15,Minnesota,MN
38,Mississippi,MS
246,Missouri,MO
18,Montana,MT
65,Nebraska,NE
17,Nevada,NV
1,New Hampshire,NH
2,New Jersey,NJ
22,New Mexico,NM
15,New York,NY
2,North Carolina,NC
24,North Dakota,ND
5,Ohio,OH
34,Oklahoma,OK
5,Oregon,OR
0,Pennsylvania,PA
0,Rhode Island,RI
0,South Carolina,SC
0,South Dakota,SD
0,Tennessee,TN
0,Texas,TX
0,Utah,UT
0,Vermont,VT
0,Virginia,VA
0,Washington,WA
0,West Virginia,WV
0,Wisconsin,WI
0,Wyoming,WY