indexid,part,microfiche-num,theme,cat,subcat,type
1,1,[1],Textiles Costume and Jewelry,Textiles,Embroidery and Needlework,Samplers
2,1,[1],Textiles Costume and Jewelry,Textiles,Embroidery and Needlework,Embroidered Pictures
3,1,"[2,3,4]",Textiles Costume and Jewelry,Textiles,Embroidery and Needlework,Needlework and Crewel Embroidery
4,1,[5],Textiles Costume and Jewelry,Textiles,Embroidery and Needlework,Hooked and Embroidered Rugs
5,1,"[5,6,7,8,9]",Textiles Costume and Jewelry,Textiles,Embroidery and Needlework,Applique and Pieced Quilts
6,1,"[9,10]",Textiles Costume and Jewelry,Textiles,Lace Crocheting Knitting and Knotting,
7,1,"[10,11]",Textiles Costume and Jewelry,Textiles,Woven Textiles,Linen Cotton Wool and Silk
8,1,"[11,12]",Textiles Costume and Jewelry,Textiles,Woven Textiles,Woven Coverlets - Four Harness
9,1,"[12,13,14]",Textiles Costume and Jewelry,Textiles,Woven Textiles,Woven Coverlets - Jacquard
10,1,[14],Textiles Costume and Jewelry,Textiles,Woven Textiles,Rugs and Carpets
11,1,"[14,15,16,17,18]",Textiles Costume and Jewelry,Textiles,Printed and Dyed Textiles,
12,1,[18],Textiles Costume and Jewelry,Textiles,Flags,
13,1,"[19,20,21]",Textiles Costume and Jewelry,Costume,Headwear,
14,1,[21],Textiles Costume and Jewelry,Costume,Neckwear,
15,1,"[22,23]",Textiles Costume and Jewelry,Costume,Undergarments and Nightwear,
16,1,"[23,24]",Textiles Costume and Jewelry,Costume,Women's Apparel,Above the Waist
17,1,[24],Textiles Costume and Jewelry,Costume,Women's Apparel,Aprons
18,1,"[24,25,26,27,28,29]",Textiles Costume and Jewelry,Costume,Women's Apparel,Dresses and Coats
19,1,[29],Textiles Costume and Jewelry,Costume,Men's Apparel,Above the Waist
20,1,[30],Textiles Costume and Jewelry,Costume,Men's Apparel,Trousers
21,1,"[31,32]",Textiles Costume and Jewelry,Costume,Men's Apparel,Suits and Coats
22,1,[32],Textiles Costume and Jewelry,Costume,Men's Apparel,Uniforms
23,1,"[32,33,34]",Textiles Costume and Jewelry,Costume,Infants' and Children's Apparel,
24,1,[34],Textiles Costume and Jewelry,Costume,Footwear,Stockings
25,1,[34],Textiles Costume and Jewelry,Costume,Footwear,Skates Clogs and Spurs
26,1,"[35,36]",Textiles Costume and Jewelry,Costume,Footwear,Women's Shoes
27,1,[36],Textiles Costume and Jewelry,Costume,Footwear,Men's Shoes
28,1,[36],Textiles Costume and Jewelry,Costume,Footwear,Children's Shoes
29,1,[37],Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Belts
30,1,[37],Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Bootjacks and Shoe Forms
31,1,"[37,38]",Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Buttons
32,1,[38],Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Canes and Walking Sticks
33,1,[38],Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Card Cases and Trays
34,1,[38],Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Collar and Cuff Box
35,1,[38],Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Fans
36,1,[38],Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Garters and Suspenders
37,1,[38],Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Gloves Mitts and Mittens
38,1,"[38,40]",Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Handbags Purses Satchels and Wallets
39,1,[40],Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Muffs Parasols and Umbrellas
40,1,"[40,41]",Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Pipes
41,1,[41],Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Pockets and Sachets
42,1,[41],Textiles Costume and Jewelry,Costume Accessories,Costume Accessories (A-Z),Spectacles and Eyeglasses
43,1,[41],Textiles Costume and Jewelry,Costume Accessories,Medical and Personal Hygiene Instruments,
44,1,[41],Textiles Costume and Jewelry,Costume Accessories,Restraining Irons and Clothing,
45,1,"[42,43,44,45]",Textiles Costume and Jewelry,Jewelry,Sets of Jewelry,
46,1,[42],Textiles Costume and Jewelry,Jewelry,Jewelry (A-Z),Bouquet Holders
47,1,[42],Textiles Costume and Jewelry,Jewelry,Jewelry (A-Z),Bracelets
48,1,[42],Textiles Costume and Jewelry,Jewelry,Jewelry (A-Z),Brooches
49,1,[43],Textiles Costume and Jewelry,Jewelry,Jewelry (A-Z),Buckles
50,1,"[43,44]",Textiles Costume and Jewelry,Jewelry,Jewelry (A-Z),Combs and Hair Ornaments
51,1,[44],Textiles Costume and Jewelry,Jewelry,Jewelry (A-Z),Cufflinks
52,1,[44],Textiles Costume and Jewelry,Jewelry,Jewelry (A-Z),Earrings
53,1,[44],Textiles Costume and Jewelry,Jewelry,Jewelry (A-Z),Necklaces
54,1,"[44,45]",Textiles Costume and Jewelry,Jewelry,Jewelry (A-Z),Pins
55,1,[45],Textiles Costume and Jewelry,Jewelry,Jewelry (A-Z),Rings
56,1,[45],Textiles Costume and Jewelry,Jewelry,Jewelry (A-Z),Watches and Fobs
57,1,"[46,47,48,49,50,51,52,53,54,55]",Textiles Costume and Jewelry,,,Oversize Renderings
58,1,"[56,57]",Textiles Costume and Jewelry,,,Giant Renderings
59,2,[1],The Art and Design of Utopian and Religious Communities,Pennsylvania German,Fracturs and Paintings,
60,2,[1],The Art and Design of Utopian and Religious Communities,Pennsylvania German,Wood Carvings and Weathervanes,
61,2,"[2,3]",The Art and Design of Utopian and Religious Communities,Pennsylvania German,Furniture and Decorative Accessories,Furniture
62,2,"[3,4]",The Art and Design of Utopian and Religious Communities,Pennsylvania German,Furniture and Decorative Accessories,Boxes and Decorative Accessories
63,2,"[4,5,6]",The Art and Design of Utopian and Religious Communities,Pennsylvania German,Ceramics and Chalkware,Ceramics
64,2,"[5,6]",The Art and Design of Utopian and Religious Communities,Pennsylvania German,Ceramics and Chalkware,Chalkware
65,2,[34],The Art and Design of Utopian and Religious Communities,Pennsylvania German,Textiles,
66,2,"[6,7,8,35]",The Art and Design of Utopian and Religious Communities,Pennsylvania German,Domestic Utensils Tools and Hardware,Domestic Utensils
67,2,[8],The Art and Design of Utopian and Religious Communities,Pennsylvania German,Domestic Utensils Tools and Hardware,Tools
68,2,[9],The Art and Design of Utopian and Religious Communities,Pennsylvania German,Domestic Utensils Tools and Hardware,Hardware
69,2,[9],The Art and Design of Utopian and Religious Communities,Zoar,Painting,
70,2,[9],The Art and Design of Utopian and Religious Communities,Zoar,Furniture,
71,2,[9],The Art and Design of Utopian and Religious Communities,Zoar,Ceramics,
72,2,"[9,35]",The Art and Design of Utopian and Religious Communities,Zoar,Textiles and Costume,
73,2,"[10,35]",The Art and Design of Utopian and Religious Communities,Zoar,Domestic Utensils and Tools,
74,2,"[10,35]",The Art and Design of Utopian and Religious Communities,Economy,,
75,2,"[10,11]",The Art and Design of Utopian and Religious Communities,Amana,,
76,2,"[11,36]",The Art and Design of Utopian and Religious Communities,Bishop Hill,Furniture,
77,2,[11],The Art and Design of Utopian and Religious Communities,Bishop Hill,Costume,
78,2,"[11,36]",The Art and Design of Utopian and Religious Communities,Bishop Hill,Domestic Utensils and Tools,
79,2,[12],The Art and Design of Utopian and Religious Communities,Shaker,Art and Architecture,Art
80,2,[12],The Art and Design of Utopian and Religious Communities,Shaker,Art and Architecture,Architectural Details
81,2,[12],The Art and Design of Utopian and Religious Communities,Shaker,Furniture and Furnishing Accessories,Chairs
82,2,"[12,13]",The Art and Design of Utopian and Religious Communities,Shaker,Furniture and Furnishing Accessories,Tables Benches and Stools
83,2,"[13,14]",The Art and Design of Utopian and Religious Communities,Shaker,Furniture and Furnishing Accessories,Chests Cupboards and Cabinets
84,2,[14],The Art and Design of Utopian and Religious Communities,Shaker,Furniture and Furnishing Accessories,Beds
85,2,"[14,36]",The Art and Design of Utopian and Religious Communities,Shaker,Furniture and Furnishing Accessories,Furnishing Accessories
86,2,[15],The Art and Design of Utopian and Religious Communities,Shaker,Furniture and Furnishing Accessories,Clocks
87,2,"[15,36]",The Art and Design of Utopian and Religious Communities,Shaker,Textiles and Costume,Textiles
88,2,"[16,36]",The Art and Design of Utopian and Religious Communities,Shaker,Textiles and Costume,Costume and Costume Accessories
89,2,[17],The Art and Design of Utopian and Religious Communities,Shaker,Domestic Utensils and Tools (A-Z),
90,2,"[16,36]",The Art and Design of Utopian and Religious Communities,Quaker,Costume,
91,2,[17],The Art and Design of Utopian and Religious Communities,Mormon,,
92,2,"[18,19,20,36,37,38,40]",The Art and Design of Utopian and Religious Communities,Spanish Southwest,Art and Architecture,Paintings and Sculpture
93,2,"[20,21,22,23,38]",The Art and Design of Utopian and Religious Communities,Spanish Southwest,Art and Architecture,Interiors and Architectural Details
94,2,"[23,24,40]",The Art and Design of Utopian and Religious Communities,Spanish Southwest,Art and Architecture,Maps
95,2,"[24,25,38,40]",The Art and Design of Utopian and Religious Communities,Spanish Southwest,Furniture and Mirrors,Furniture
96,2,"[25,40]",The Art and Design of Utopian and Religious Communities,Spanish Southwest,Furniture and Mirrors,Mirrors
97,2,"[25,26,38,40]",The Art and Design of Utopian and Religious Communities,Spanish Southwest,Textiles and Costume,
98,2,"[26,27,40]",The Art and Design of Utopian and Religious Communities,Spanish Southwest,Domestic Utensils and Tools,Lighting Devices
99,2,[27],The Art and Design of Utopian and Religious Communities,Spanish Southwest,Domestic Utensils and Tools,Domestic Utensils and Tools
100,2,"[28,39]",The Art and Design of Utopian and Religious Communities,Spanish Southwest,Saddlery and Weapons,Saddles and Leatherwork
101,2,"[29,30]",The Art and Design of Utopian and Religious Communities,Spanish Southwest,Saddlery and Weapons,Spurs
102,2,[30],The Art and Design of Utopian and Religious Communities,Spanish Southwest,Saddlery and Weapons,Bits
103,2,[31],The Art and Design of Utopian and Religious Communities,Spanish Southwest,Saddlery and Weapons,Weapons
104,2,[31],The Art and Design of Utopian and Religious Communities,Spanish Southwest,Musical Instruments,Bells
105,2,[31],The Art and Design of Utopian and Religious Communities,Spanish Southwest,Musical Instruments,Stringed Instruments
106,2,"[31,32]",The Art and Design of Utopian and Religious Communities,California Petroglyphs,,
107,2,[32],The Art and Design of Utopian and Religious Communities,American Indian,,
108,2,"[33,34,35,36,37,38,39]",The Art and Design of Utopian and Religious Communities,,,Oversize Renderings
109,2,[40],The Art and Design of Utopian and Religious Communities,,,Giant Renderings
110,3,"[13,20]",Architecture and Naive Art,Architecture,Interiors,Rooms - Domestic Interiors
111,3,"[13,20]",Architecture and Naive Art,Architecture,Interiors,Rooms - Business and Industrial
112,3,"[13,20]",Architecture and Naive Art,Architecture,Interiors,Rooms - Public Buildings and Gathering Places
113,3,"[13,20,21]",Architecture and Naive Art,Architecture,Interiors,Stage Sets and Backdrops
114,3,"[1,13,21]",Architecture and Naive Art,Architecture,Interiors,Architectural Details and Paneling
115,3,"[1,13,21]",Architecture and Naive Art,Architecture,Interiors,Railway Car Interiors
116,3,"[2,13,21]",Architecture and Naive Art,Architecture,Interiors,Wall Treatments - Decorated Painted and Stenciled
117,3,"[2,3,4,14,15,21]",Architecture and Naive Art,Architecture,Interiors,Wall Treatments - Wallpaper and Bandboxes
118,3,"[4,21]",Architecture and Naive Art,Architecture,Interiors,Floor Treatments
119,3,"[4,5,15]",Architecture and Naive Art,Architecture,Exteriors,Architectural Details and Ornament
120,3,[5],Architecture and Naive Art,Architecture,Exteriors,Firemarks
121,3,"[5,6,15]",Architecture and Naive Art,Architecture,Exteriors,Hitching Posts
122,3,"[6,16,17,21]",Architecture and Naive Art,Architecture,Gardens,Gardens
123,3,"[6,17]",Architecture and Naive Art,Architecture,Gardens,Garden Ornaments and Metal Sculpture
124,3,"[7,8,17]",Architecture and Naive Art,Architecture,Gardens,Cemetery Art
125,3,"[8,18]",Architecture and Naive Art,Architecture,Waterworks,
126,3,"[8,9,10,11,18]",Architecture and Naive Art,Architecture,Ornamental Iron,
127,3,"[12,18,19,21]",Architecture and Naive Art,Naive Art,Paintings Documents and Prints,
128,3,"[12,19]",Architecture and Naive Art,Naive Art,Valentines and Paper Cuttings,
129,3,"[13,14,15,16,17,18,19]",Architecture and Naive Art,,,Oversize Renderings
130,3,"[20,21]",Architecture and Naive Art,,,Giant Renderings
131,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Adzes Axes and Hatchets
132,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Augers
133,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Bark Peelers
134,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Beehives
135,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Blacksmith Tools
136,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Braces Bits and Drills
137,4,[1],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Branding Irons and Markers
138,4,[2],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Bristle Removers
139,4,[2],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Brushes and Brush Cutters
140,4,[2],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Carpet Stretchers
141,4,[2],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Chisels
142,4,[3],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Clam Rakes
143,4,[3],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Clamps
144,4,[3],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Combs
145,4,[3],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Corn Planters
146,4,"[3,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Cranberry Pickers
147,4,"[3,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Drawknives and Knives
148,4,"[3,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Firefighting Equipment
149,4,[3],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Fish Spears
150,4,"[3,4]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Flails
151,4,[15],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Frows and Frow Clubs
152,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Gauges
153,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Grain Cradles
154,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Hammers Mallets and Gavels
155,4,"[4,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Hay Forks
156,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Hide Stretchers
157,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Hoes and Picks
158,4,"[4,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Hooks
159,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Jacks
160,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Millstones
161,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Pinkers
162,4,[4],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Planes
163,4,"[5,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Plows
164,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Potato Planters
165,4,"[5,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Printing Equipment and Stamps
166,4,[15],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Reamers
167,4,"[5,15]",Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Saws
168,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Scrapers
169,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Screens
170,4,[15],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Shaving Horses
171,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Shears
172,4,[5],Tools Hardware Firearms and Vehicles,Tools and Equipment (A-Z),,Shoemakers and Leather Working Tools
